Term,Values
彼ら,かれら
彼氏,かれし
待機,たいき
後ろ,うしろ
得体,えたい
得意,とくい
微か,かすか
徹夜,てつや
心理,しんり
必死,ひっし
必至,ひっし
必須,ひっす
怒り,いかり
怒る,おこる
怒気,どき
怖い,こわい
思う,おもう
思想,しそう
思慕,しぼ
恐い,こわい
恐れ,おそれ
恨み,うらみ
恨む,うらむ
息子,むすこ
悟る,さとる
悩み,なやみ
悩む,なやむ
悪い,わるい
悪夢,あくむ
悪魔,あくま
悲哀,ひあい
悲惨,ひさん
情け,なさけ
愉快,ゆかい
意欲,いよく
意見,いけん
意識,いしき
愚か,おろか
愚痴,ぐち
慈悲,じひ
慕う,したう
慰問,いもん
慰安,いあん
慰謝,いしゃ
憂い,うれい
憎い,にくい
憎む,にくむ
憩い,いこい
憩う,いこう
懇意,こんい
懇話,こんわ
戦禍,せんか
戸籍,こせき
扇子,せんす
払い,はらい
払う,はらう
扶養,ふよう
批判,ひはん
把握,はあく
抑止,よくし
投棄,とうき
投資,とうし
披露,ひろう
抱く,だく
担う,になう
担架,たんか
拒否,きょひ
拘置,こうち
招く,まねく
括る,くくる
括弧,かっこ
拾う,ひろう
指圧,しあつ
指摘,してき
指示,しじ
指紋,しもん
挟む,はさむ
挿絵,さしえ
挿話,そうわ
捕獲,ほかく
捕虜,ほりょ
捜査,そうさ
排他,はいた
排気,はいき
控え,ひかえ
推理,すいり
措辞,そじ
換気,かんき
摂氏,せっし
摂理,せつり
摩擦,まさつ
操作,そうさ
支店,してん
支度,したく
支援,しえん
放す,はなす
放つ,はなつ
放棄,ほうき
政府,せいふ
故に,ゆえに
救う,すくう
教え,おしえ
数詞,すうし
整理,せいり
文句,もんく
文字,もじ
斜め,ななめ
新た,あらた
新芽,しんめ
施行,しこう
施設,しせつ
既存,きそん
既決,きけつ
日本,にほん
日記,にっき
旨い,うまい
早い,はやい
早く,はやく
早瀬,はやせ
明日,あした
映す,うつす
映る,うつる
昨日,きのう
是非,ぜひ
昼寝,ひるね
時差,じさ
時期,じき
時計,とけい
普通,ふつう
普遍,ふへん
景色,けしき
暑い,あつい
暗い,くらい
暗記,あんき
曇り,くもり
曇る,くもる
更に,さらに
書架,しょか
月見,つきみ
有意,ゆうい
朝日,あさひ
期待,きたい
期間,きかん
木綿,もめん
未婚,みこん
未来,みらい
未決,みけつ
未遂,みすい
本屋,ほんや
本気,ほんき
東亜,とうあ
果敢,かかん
果糖,かとう
枯渇,こかつ
架設,かせつ
栄誉,えいよ
根気,こんき
棋院,きいん
検査,けんさ
構う,かまう
構え,かまえ
模型,もけい
模擬,もぎ
模様,もよう
模範,もはん
権利,けんり
権威,けんい
機会,きかい
機械,きかい
歌う,うたう
歌手,かしゅ
歌謡,かよう
武器,ぶき
武士,ぶし
歩く,あるく
歴史,れきし
死体,したい
死刑,しけい
殊に,ことに
残す,のこす
残り,のこり
残る,のこる
殺す,ころす
比例,ひれい
比率,ひりつ
比較,ひかく
毛布,もうふ
毛糸,けいと
毛虫,けむし
氏名,しめい
気候,きこう
気泡,きほう
気温,きおん
汚染,おせん
汚水,おすい
汚点,おてん
江戸,えど
汽笛,きてき
汽船,きせん
汽車,きしゃ
河豚,ふぐ
油彩,ゆさい
治す,なおす
治安,ちあん
沼地,ぬまち
沼田,ぬまた
法規,ほうき
波紋,はもん
洗う,あらう
津波,つなみ
活気,かっき
派手,はで
派遣,はけん
流浪,るろう
浅い,あさい
浪費,ろうひ
浮気,うわき
浴衣,ゆかた
浸す,ひたす
浸る,ひたる
淡い,あわい
深い,ふかい
深さ,ふかさ
深夜,しんや
清い,きよい
渇く,かわく
渡す,わたす
渡る,わたる
測る,はかる
湖畔,こはん
湯気,ゆげ
湿る,しめる
湿地,しっち
湿気,しっけ
漆器,しっき
漬け,づけ
潜む,ひそむ
火事,かじ
火災,かさい
火葬,かそう
灯り,あかり
灯る,ともる
炉心,ろしん
炭素,たんそ
為に,ために
無名,むめい
無我,むが
無敵,むてき
無糖,むとう
無縁,むえん
無茶,むちゃ
無菌,むきん
無駄,むだ
焦り,あせり
焦る,あせる
煙い,けむい
煮物,にもの
熱い,あつい
片手,かたて
特に,とくに
犠飛,ぎひ
犯す,おかす
狂う,くるう
狙い,ねらい
狙う,ねらう
独り,ひとり
狭い,せまい
猶予,ゆうよ
獲物,えもの
王妃,おうひ
珍味,ちんみ
理屈,りくつ
理性,りせい
理由,りゆう
理解,りかい
理論,りろん
甘い,あまい
生保,せいほ
生地,きじ
生徒,せいと
用意,ようい
田畑,たはた
田舎,いなか
申す,もうす
異性,いせい
異義,いぎ
疎通,そつう
疎遠,そえん
疎開,そかい
疲れ,つかれ
疲労,ひろう
疲弊,ひへい
痛い,いたい
痛み,いたみ
痛む,いたむ
痴呆,ちほう
痴漢,ちかん
癖に,くせに
白い,しろい
皮肉,ひにく
皮革,ひかく
盗む,ぬすむ
監視,かんし
直す,なおす
直る,なおる
相手,あいて
相撲,すもう
眉間,みけん
眠い,ねむい
眠る,ねむる
着物,きもの
知識,ちしき
短期,たんき
石油,せきゆ
石碑,せきひ
砂糖,さとう
破壊,はかい
破片,はへん
破産,はさん
破船,はせん
硫黄,いおう
硬い,かたい
磁気,じき
示す,しめす
社費,しゃひ
祈る,いのる
祈念,きねん
祖母,そぼ
祝う,いわう
禁句,きんく
禁忌,きんき
禁止,きんし
禍根,かこん
福祉,ふくし
私営,しえい
私立,しりつ
私邸,してい
私鉄,してつ
科目,かもく
秘密,ひみつ
租界,そかい
移す,うつす
移る,うつる
移民,いみん
稚拙,ちせつ
稲穂,いなほ
空気,くうき
空疎,くうそ
窒素,ちっそ
競う,きそう
笑い,わらい
笑う,わらう
答え,こたえ
管理,かんり
節句,せっく
範囲,はんい
簡易,かんい
粗い,あらい
粗悪,そあく
系譜,けいふ
紙幣,しへい
素敵,すてき
細い,ほそい
紳士,しんし
組織,そしき
経緯,けいい
経路,けいろ
結果,けっか
絡む,からむ
絹糸,けんし
継父,けいふ
維持,いじ
維新,いしん
網羅,もうら
綺麗,きれい
総理,そうり
線路,せんろ
緩い,ゆるい
緩む,ゆるむ
緯度,いど
緯線,いせん
縫目,ぬいめ
繁茂,はんも
繊維,せんい
罷免,ひめん
羅列,られつ
義務,ぎむ
義理,ぎり
習う,ならう
翔る,かける
翻意,ほんい
老舗,しにせ
耐火,たいか
耕地,こうち
聖地,せいち
聡い,さとい
肉屋,にくや
肥満,ひまん
胃痛,いつう
背丈,せたけ
背中,せなか
胞子,ほうし
脇見,わきみ
脳死,のうし
腐る,くさる
腐敗,ふはい
自己,じこ
臭い,くさい
至る,いたる
致す,いたす
舗装,ほそう
花見,はなみ
若い,わかい
若布,わかめ
苦労,くろう
英和,えいわ
茶屋,ちゃや
草地,くさち
荒い,あらい
荷物,にもつ
華美,かび
蒙古,もうこ
薄い,うすい
薦め,すすめ
融資,ゆうし
行為,こうい
衣服,いふく
装置,そうち
襲う,おそう
西瓜,すいか
